unique_key,mean_compound,max_compound,min_compound,mean_positive,max_positive,min_positive,mean_negative,max_negative,min_negative,mean_neutral,max_neutral,min_neutral
AAPL2022-03-14,0.29295,0.5859,0.0,0.071,0.142,0.0,0.0,0.0,0.0,0.929,1.0,0.858
AAPL2022-03-15,0.3715,0.743,0.0,0.0985,0.197,0.0,0.018,0.036,0.0,0.8835,1.0,0.767
AAPL2022-03-16,-0.0258,-0.0258,-0.0258,0.05,0.05,0.05,0.053,0.053,0.053,0.896,0.896,0.896
AAPL2022-03-17,0.48355,0.5267,0.4404,0.10250000000000001,0.112,0.093,0.0,0.0,0.0,0.8975,0.907,0.888
AAPL2022-03-18,-0.13935000000000003,0.296,-0.7003,0.01525,0.061,0.0,0.048,0.149,0.0,0.93675,1.0,0.851
AAPL2022-03-19,0.7783,0.7783,0.7783,0.29,0.29,0.29,0.0,0.0,0.0,0.71,0.71,0.71
AAPL2022-03-20,0.1527,0.7269,-0.4215,0.1365,0.203,0.07,0.10149999999999999,0.146,0.057,0.762,0.784,0.74
AAPL2022-03-21,-0.09452500000000001,0.7351,-0.5574,0.0485,0.194,0.0,0.06475,0.137,0.0,0.88675,0.959,0.806
AAPL2022-03-22,-0.064125,0.7351,-0.7609,0.0735,0.165,0.0,0.08449999999999999,0.154,0.0,0.842,0.944,0.778
AAPL2022-03-23,0.30384,0.6573,0.0,0.05700000000000001,0.13,0.0,0.0,0.0,0.0,0.943,1.0,0.87
AAPL2022-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
AAPL2022-03-25,-0.414,-0.3612,-0.4404,0.03766666666666667,0.113,0.0,0.11166666666666668,0.168,0.079,0.8506666666666667,0.921,0.719
AAPL2022-03-26,0.7040500000000001,0.8658,0.5423,0.185,0.229,0.141,0.028,0.056,0.0,0.787,0.803,0.771
AAPL2022-03-27,0.27065,0.5413,0.0,0.054,0.108,0.0,0.0,0.0,0.0,0.946,1.0,0.892
AAPL2022-03-28,0.4891,0.8176,0.0,0.1116,0.209,0.0,0.013600000000000001,0.038,0.0,0.8748000000000001,1.0,0.754
AAPL2022-03-29,0.3543857142857143,0.7579,-0.1471,0.11342857142857143,0.269,0.0,0.033999999999999996,0.079,0.0,0.8525714285714285,1.0,0.652
AAPL2022-03-30,0.5297333333333333,0.7783,0.0,0.14583333333333334,0.212,0.0,0.028499999999999998,0.104,0.0,0.8255,1.0,0.745
AAPL2022-03-31,0.07990000000000001,0.5473,-0.1796,0.08633333333333333,0.15,0.0,0.07066666666666667,0.167,0.0,0.8426666666666667,0.955,0.682
AAPL2022-04-01,0.13432500000000003,0.5994,-0.2382,0.08725,0.15,0.042,0.06125,0.075,0.042,0.851,0.893,0.808
