unique_key,Date,Open,High,Low,Close,Adj Close,Volume,Stock
AAPL2021-04-15,2021-04-15,133.82000732421875,135.0,133.63999938964844,134.5,133.705322265625,89347100,AAPL
AAPL2021-04-16,2021-04-16,134.3000030517578,134.6699981689453,133.27999877929688,134.16000366210938,133.36734008789062,84922400,AAPL
AAPL2021-04-19,2021-04-19,133.50999450683594,135.47000122070312,133.33999633789062,134.83999633789062,134.04331970214844,94264200,AAPL
AAPL2021-04-20,2021-04-20,135.02000427246094,135.52999877929688,131.80999755859375,133.11000061035156,132.3235321044922,94812300,AAPL
AAPL2021-04-21,2021-04-21,132.36000061035156,133.75,131.3000030517578,133.5,132.71121215820312,68847100,AAPL
AAPL2021-04-22,2021-04-22,133.0399932861328,134.14999389648438,131.41000366210938,131.94000244140625,131.16046142578125,84566500,AAPL
AAPL2021-04-23,2021-04-23,132.16000366210938,135.1199951171875,132.16000366210938,134.32000732421875,133.52638244628906,78657500,AAPL
AAPL2021-04-26,2021-04-26,134.8300018310547,135.05999755859375,133.55999755859375,134.72000122070312,133.9240264892578,66905100,AAPL
AAPL2021-04-27,2021-04-27,135.00999450683594,135.41000366210938,134.11000061035156,134.38999938964844,133.59597778320312,66015800,AAPL
AAPL2021-04-28,2021-04-28,134.30999755859375,135.02000427246094,133.0800018310547,133.5800018310547,132.79075622558594,107760100,AAPL
AAPL2021-04-29,2021-04-29,136.47000122070312,137.07000732421875,132.4499969482422,133.47999572753906,132.69134521484375,151101000,AAPL
AAPL2021-04-30,2021-04-30,131.77999877929688,133.55999755859375,131.07000732421875,131.4600067138672,130.68328857421875,109839500,AAPL
AAPL2021-05-03,2021-05-03,132.0399932861328,134.07000732421875,131.8300018310547,132.5399932861328,131.75689697265625,75135100,AAPL
AAPL2021-05-04,2021-05-04,131.19000244140625,131.49000549316406,126.69999694824219,127.8499984741211,127.09461212158203,137564700,AAPL
AAPL2021-05-05,2021-05-05,129.1999969482422,130.4499969482422,127.97000122070312,128.10000610351562,127.34313201904297,84000900,AAPL
AAPL2021-05-06,2021-05-06,127.88999938964844,129.75,127.12999725341797,129.74000549316406,128.97344970703125,78128300,AAPL
AAPL2021-05-07,2021-05-07,130.85000610351562,131.25999450683594,129.47999572753906,130.2100067138672,129.66055297851562,78973300,AAPL
AAPL2021-05-10,2021-05-10,129.41000366210938,129.5399932861328,126.80999755859375,126.8499984741211,126.31470489501953,88071200,AAPL
AAPL2021-05-11,2021-05-11,123.5,126.2699966430664,122.7699966430664,125.91000366210938,125.3786849975586,126142800,AAPL
AAPL2021-05-12,2021-05-12,123.4000015258789,124.63999938964844,122.25,122.7699966430664,122.2519302368164,112172300,AAPL
AAPL2021-05-13,2021-05-13,124.58000183105469,126.1500015258789,124.26000213623047,124.97000122070312,124.44264221191406,105861300,AAPL
AAPL2021-05-14,2021-05-14,126.25,127.88999938964844,125.8499984741211,127.44999694824219,126.91217041015625,81918000,AAPL
AAPL2021-05-17,2021-05-17,126.81999969482422,126.93000030517578,125.16999816894531,126.2699966430664,125.7371597290039,74244600,AAPL
AAPL2021-05-18,2021-05-18,126.55999755859375,126.98999786376953,124.77999877929688,124.8499984741211,124.32315063476562,63342900,AAPL
AAPL2021-05-19,2021-05-19,123.16000366210938,124.91999816894531,122.86000061035156,124.69000244140625,124.16382598876953,92612000,AAPL
AAPL2021-05-20,2021-05-20,125.2300033569336,127.72000122070312,125.0999984741211,127.30999755859375,126.77276611328125,76857100,AAPL
AAPL2021-05-21,2021-05-21,127.81999969482422,128.0,125.20999908447266,125.43000030517578,124.90070343017578,79295400,AAPL
AAPL2021-05-24,2021-05-24,126.01000213623047,127.94000244140625,125.94000244140625,127.0999984741211,126.56365203857422,63092900,AAPL
AAPL2021-05-25,2021-05-25,127.81999969482422,128.32000732421875,126.31999969482422,126.9000015258789,126.364501953125,72009500,AAPL
AAPL2021-05-26,2021-05-26,126.95999908447266,127.38999938964844,126.41999816894531,126.8499984741211,126.31470489501953,56575900,AAPL
AAPL2021-05-27,2021-05-27,126.44000244140625,127.63999938964844,125.08000183105469,125.27999877929688,124.75132751464844,94625600,AAPL
AAPL2021-05-28,2021-05-28,125.56999969482422,125.80000305175781,124.55000305175781,124.61000061035156,124.08416748046875,71311100,AAPL
AAPL2021-06-01,2021-06-01,125.08000183105469,125.3499984741211,123.94000244140625,124.27999877929688,123.75555419921875,67637100,AAPL
